samples,kingdom,phylum,class,order,family,genus,oxygenstat,metabolism,gram,mtype,genes,file,reads,relative
ERR321628,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,538,Bifidobacterium_adolescentis_ATCC_15703.xml|Bifidobacterium_angulatum_DSM_20098.xml|Bifidobacterium_animalis_lactis_AD011.xml|Bifidobacterium_animalis_lactis_BB_12.xml|Bifidobacterium_animalis_lactis_Bi_07.xml|Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219.xml|Bifidobacterium_animalis_lactis_CNCM_I_2494.xml|Bifidobacterium_animalis_lactis_DSM_10140.xml|Bifidobacterium_animalis_lactis_V9.xml|Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml|Bifidobacterium_boum_DSM_20432.xml|Bifidobacterium_breve_HPH0326.xml|Bifidobacterium_breve_UCC2003_NCIMB8807.xml|Bifidobacterium_catenulatum_DSM_16992.xml|Bifidobacterium_coryneforme_DSM_20216.xml|Bifidobacterium_dentium_ATCC_27678.xml|Bifidobacterium_gallicum_DSM_20093.xml|Bifidobacterium_kashiwanohense_DSM_21854.xml|Bifidobacterium_longum_DJO10A.xml|Bifidobacterium_longum_E18.xml|Bifidobacterium_longum_infantis_157F_NC.xml|Bifidobacterium_longum_infantis_ATCC_15697.xml|Bifidobacterium_longum_longum_ATCC_55813.xml|Bifidobacterium_longum_longum_BBMN68.xml|Bifidobacterium_longum_longum_CCUG_52486.xml|Bifidobacterium_longum_longum_JCM_1217.xml|Bifidobacterium_longum_longum_JDM301.xml|Bifidobacterium_longum_NCC2705.xml|Bifidobacterium_mongoliense_DSM_21395.xml|Bifidobacterium_pseudocatenulatum_DSM_20438.xml|Bifidobacterium_pseudolongum_subsp_Pseudolongum_DSM_20099.xml|Bifidobacterium_ruminantium_DSM_6489.xml|Bifidobacterium_scardovii_JCM_12489.xml|Bifidobacterium_stercoris_DSM_24849.xml|Bifidobacterium_thermacidophilum_subsp_thermacidophilum_DSM_15837.xml|Bifidobacterium_thermophilum_RBL67.xml,252870,0.03271966440573571
ERR321631,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,538,Bifidobacterium_adolescentis_ATCC_15703.xml|Bifidobacterium_angulatum_DSM_20098.xml|Bifidobacterium_animalis_lactis_AD011.xml|Bifidobacterium_animalis_lactis_BB_12.xml|Bifidobacterium_animalis_lactis_Bi_07.xml|Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219.xml|Bifidobacterium_animalis_lactis_CNCM_I_2494.xml|Bifidobacterium_animalis_lactis_DSM_10140.xml|Bifidobacterium_animalis_lactis_V9.xml|Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml|Bifidobacterium_boum_DSM_20432.xml|Bifidobacterium_breve_HPH0326.xml|Bifidobacterium_breve_UCC2003_NCIMB8807.xml|Bifidobacterium_catenulatum_DSM_16992.xml|Bifidobacterium_coryneforme_DSM_20216.xml|Bifidobacterium_dentium_ATCC_27678.xml|Bifidobacterium_gallicum_DSM_20093.xml|Bifidobacterium_kashiwanohense_DSM_21854.xml|Bifidobacterium_longum_DJO10A.xml|Bifidobacterium_longum_E18.xml|Bifidobacterium_longum_infantis_157F_NC.xml|Bifidobacterium_longum_infantis_ATCC_15697.xml|Bifidobacterium_longum_longum_ATCC_55813.xml|Bifidobacterium_longum_longum_BBMN68.xml|Bifidobacterium_longum_longum_CCUG_52486.xml|Bifidobacterium_longum_longum_JCM_1217.xml|Bifidobacterium_longum_longum_JDM301.xml|Bifidobacterium_longum_NCC2705.xml|Bifidobacterium_mongoliense_DSM_21395.xml|Bifidobacterium_pseudocatenulatum_DSM_20438.xml|Bifidobacterium_pseudolongum_subsp_Pseudolongum_DSM_20099.xml|Bifidobacterium_ruminantium_DSM_6489.xml|Bifidobacterium_scardovii_JCM_12489.xml|Bifidobacterium_stercoris_DSM_24849.xml|Bifidobacterium_thermacidophilum_subsp_thermacidophilum_DSM_15837.xml|Bifidobacterium_thermophilum_RBL67.xml,62518,0.0049357923818675944
ERR321634,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,538,Bifidobacterium_adolescentis_ATCC_15703.xml|Bifidobacterium_angulatum_DSM_20098.xml|Bifidobacterium_animalis_lactis_AD011.xml|Bifidobacterium_animalis_lactis_BB_12.xml|Bifidobacterium_animalis_lactis_Bi_07.xml|Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219.xml|Bifidobacterium_animalis_lactis_CNCM_I_2494.xml|Bifidobacterium_animalis_lactis_DSM_10140.xml|Bifidobacterium_animalis_lactis_V9.xml|Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml|Bifidobacterium_boum_DSM_20432.xml|Bifidobacterium_breve_HPH0326.xml|Bifidobacterium_breve_UCC2003_NCIMB8807.xml|Bifidobacterium_catenulatum_DSM_16992.xml|Bifidobacterium_coryneforme_DSM_20216.xml|Bifidobacterium_dentium_ATCC_27678.xml|Bifidobacterium_gallicum_DSM_20093.xml|Bifidobacterium_kashiwanohense_DSM_21854.xml|Bifidobacterium_longum_DJO10A.xml|Bifidobacterium_longum_E18.xml|Bifidobacterium_longum_infantis_157F_NC.xml|Bifidobacterium_longum_infantis_ATCC_15697.xml|Bifidobacterium_longum_longum_ATCC_55813.xml|Bifidobacterium_longum_longum_BBMN68.xml|Bifidobacterium_longum_longum_CCUG_52486.xml|Bifidobacterium_longum_longum_JCM_1217.xml|Bifidobacterium_longum_longum_JDM301.xml|Bifidobacterium_longum_NCC2705.xml|Bifidobacterium_mongoliense_DSM_21395.xml|Bifidobacterium_pseudocatenulatum_DSM_20438.xml|Bifidobacterium_pseudolongum_subsp_Pseudolongum_DSM_20099.xml|Bifidobacterium_ruminantium_DSM_6489.xml|Bifidobacterium_scardovii_JCM_12489.xml|Bifidobacterium_stercoris_DSM_24849.xml|Bifidobacterium_thermacidophilum_subsp_thermacidophilum_DSM_15837.xml|Bifidobacterium_thermophilum_RBL67.xml,40655,0.002641976763991447
ERR321640,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,538,Bifidobacterium_adolescentis_ATCC_15703.xml|Bifidobacterium_angulatum_DSM_20098.xml|Bifidobacterium_animalis_lactis_AD011.xml|Bifidobacterium_animalis_lactis_BB_12.xml|Bifidobacterium_animalis_lactis_Bi_07.xml|Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219.xml|Bifidobacterium_animalis_lactis_CNCM_I_2494.xml|Bifidobacterium_animalis_lactis_DSM_10140.xml|Bifidobacterium_animalis_lactis_V9.xml|Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml|Bifidobacterium_boum_DSM_20432.xml|Bifidobacterium_breve_HPH0326.xml|Bifidobacterium_breve_UCC2003_NCIMB8807.xml|Bifidobacterium_catenulatum_DSM_16992.xml|Bifidobacterium_coryneforme_DSM_20216.xml|Bifidobacterium_dentium_ATCC_27678.xml|Bifidobacterium_gallicum_DSM_20093.xml|Bifidobacterium_kashiwanohense_DSM_21854.xml|Bifidobacterium_longum_DJO10A.xml|Bifidobacterium_longum_E18.xml|Bifidobacterium_longum_infantis_157F_NC.xml|Bifidobacterium_longum_infantis_ATCC_15697.xml|Bifidobacterium_longum_longum_ATCC_55813.xml|Bifidobacterium_longum_longum_BBMN68.xml|Bifidobacterium_longum_longum_CCUG_52486.xml|Bifidobacterium_longum_longum_JCM_1217.xml|Bifidobacterium_longum_longum_JDM301.xml|Bifidobacterium_longum_NCC2705.xml|Bifidobacterium_mongoliense_DSM_21395.xml|Bifidobacterium_pseudocatenulatum_DSM_20438.xml|Bifidobacterium_pseudolongum_subsp_Pseudolongum_DSM_20099.xml|Bifidobacterium_ruminantium_DSM_6489.xml|Bifidobacterium_scardovii_JCM_12489.xml|Bifidobacterium_stercoris_DSM_24849.xml|Bifidobacterium_thermacidophilum_subsp_thermacidophilum_DSM_15837.xml|Bifidobacterium_thermophilum_RBL67.xml,99199,0.0053875261653385425
ERR321642,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,538,Bifidobacterium_adolescentis_ATCC_15703.xml|Bifidobacterium_angulatum_DSM_20098.xml|Bifidobacterium_animalis_lactis_AD011.xml|Bifidobacterium_animalis_lactis_BB_12.xml|Bifidobacterium_animalis_lactis_Bi_07.xml|Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219.xml|Bifidobacterium_animalis_lactis_CNCM_I_2494.xml|Bifidobacterium_animalis_lactis_DSM_10140.xml|Bifidobacterium_animalis_lactis_V9.xml|Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml|Bifidobacterium_boum_DSM_20432.xml|Bifidobacterium_breve_HPH0326.xml|Bifidobacterium_breve_UCC2003_NCIMB8807.xml|Bifidobacterium_catenulatum_DSM_16992.xml|Bifidobacterium_coryneforme_DSM_20216.xml|Bifidobacterium_dentium_ATCC_27678.xml|Bifidobacterium_gallicum_DSM_20093.xml|Bifidobacterium_kashiwanohense_DSM_21854.xml|Bifidobacterium_longum_DJO10A.xml|Bifidobacterium_longum_E18.xml|Bifidobacterium_longum_infantis_157F_NC.xml|Bifidobacterium_longum_infantis_ATCC_15697.xml|Bifidobacterium_longum_longum_ATCC_55813.xml|Bifidobacterium_longum_longum_BBMN68.xml|Bifidobacterium_longum_longum_CCUG_52486.xml|Bifidobacterium_longum_longum_JCM_1217.xml|Bifidobacterium_longum_longum_JDM301.xml|Bifidobacterium_longum_NCC2705.xml|Bifidobacterium_mongoliense_DSM_21395.xml|Bifidobacterium_pseudocatenulatum_DSM_20438.xml|Bifidobacterium_pseudolongum_subsp_Pseudolongum_DSM_20099.xml|Bifidobacterium_ruminantium_DSM_6489.xml|Bifidobacterium_scardovii_JCM_12489.xml|Bifidobacterium_stercoris_DSM_24849.xml|Bifidobacterium_thermacidophilum_subsp_thermacidophilum_DSM_15837.xml|Bifidobacterium_thermophilum_RBL67.xml,1363,3.179575248404024e-05
ERR321648,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,538,Bifidobacterium_adolescentis_ATCC_15703.xml|Bifidobacterium_angulatum_DSM_20098.xml|Bifidobacterium_animalis_lactis_AD011.xml|Bifidobacterium_animalis_lactis_BB_12.xml|Bifidobacterium_animalis_lactis_Bi_07.xml|Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219.xml|Bifidobacterium_animalis_lactis_CNCM_I_2494.xml|Bifidobacterium_animalis_lactis_DSM_10140.xml|Bifidobacterium_animalis_lactis_V9.xml|Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml|Bifidobacterium_boum_DSM_20432.xml|Bifidobacterium_breve_HPH0326.xml|Bifidobacterium_breve_UCC2003_NCIMB8807.xml|Bifidobacterium_catenulatum_DSM_16992.xml|Bifidobacterium_coryneforme_DSM_20216.xml|Bifidobacterium_dentium_ATCC_27678.xml|Bifidobacterium_gallicum_DSM_20093.xml|Bifidobacterium_kashiwanohense_DSM_21854.xml|Bifidobacterium_longum_DJO10A.xml|Bifidobacterium_longum_E18.xml|Bifidobacterium_longum_infantis_157F_NC.xml|Bifidobacterium_longum_infantis_ATCC_15697.xml|Bifidobacterium_longum_longum_ATCC_55813.xml|Bifidobacterium_longum_longum_BBMN68.xml|Bifidobacterium_longum_longum_CCUG_52486.xml|Bifidobacterium_longum_longum_JCM_1217.xml|Bifidobacterium_longum_longum_JDM301.xml|Bifidobacterium_longum_NCC2705.xml|Bifidobacterium_mongoliense_DSM_21395.xml|Bifidobacterium_pseudocatenulatum_DSM_20438.xml|Bifidobacterium_pseudolongum_subsp_Pseudolongum_DSM_20099.xml|Bifidobacterium_ruminantium_DSM_6489.xml|Bifidobacterium_scardovii_JCM_12489.xml|Bifidobacterium_stercoris_DSM_24849.xml|Bifidobacterium_thermacidophilum_subsp_thermacidophilum_DSM_15837.xml|Bifidobacterium_thermophilum_RBL67.xml,154928,0.007869880390801779
ERR414233,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,538,Bifidobacterium_adolescentis_ATCC_15703.xml|Bifidobacterium_angulatum_DSM_20098.xml|Bifidobacterium_animalis_lactis_AD011.xml|Bifidobacterium_animalis_lactis_BB_12.xml|Bifidobacterium_animalis_lactis_Bi_07.xml|Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219.xml|Bifidobacterium_animalis_lactis_CNCM_I_2494.xml|Bifidobacterium_animalis_lactis_DSM_10140.xml|Bifidobacterium_animalis_lactis_V9.xml|Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml|Bifidobacterium_boum_DSM_20432.xml|Bifidobacterium_breve_HPH0326.xml|Bifidobacterium_breve_UCC2003_NCIMB8807.xml|Bifidobacterium_catenulatum_DSM_16992.xml|Bifidobacterium_coryneforme_DSM_20216.xml|Bifidobacterium_dentium_ATCC_27678.xml|Bifidobacterium_gallicum_DSM_20093.xml|Bifidobacterium_kashiwanohense_DSM_21854.xml|Bifidobacterium_longum_DJO10A.xml|Bifidobacterium_longum_E18.xml|Bifidobacterium_longum_infantis_157F_NC.xml|Bifidobacterium_longum_infantis_ATCC_15697.xml|Bifidobacterium_longum_longum_ATCC_55813.xml|Bifidobacterium_longum_longum_BBMN68.xml|Bifidobacterium_longum_longum_CCUG_52486.xml|Bifidobacterium_longum_longum_JCM_1217.xml|Bifidobacterium_longum_longum_JDM301.xml|Bifidobacterium_longum_NCC2705.xml|Bifidobacterium_mongoliense_DSM_21395.xml|Bifidobacterium_pseudocatenulatum_DSM_20438.xml|Bifidobacterium_pseudolongum_subsp_Pseudolongum_DSM_20099.xml|Bifidobacterium_ruminantium_DSM_6489.xml|Bifidobacterium_scardovii_JCM_12489.xml|Bifidobacterium_stercoris_DSM_24849.xml|Bifidobacterium_thermacidophilum_subsp_thermacidophilum_DSM_15837.xml|Bifidobacterium_thermophilum_RBL67.xml,19244,0.0014614879989234028
ERR414234,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,538,Bifidobacterium_adolescentis_ATCC_15703.xml|Bifidobacterium_angulatum_DSM_20098.xml|Bifidobacterium_animalis_lactis_AD011.xml|Bifidobacterium_animalis_lactis_BB_12.xml|Bifidobacterium_animalis_lactis_Bi_07.xml|Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219.xml|Bifidobacterium_animalis_lactis_CNCM_I_2494.xml|Bifidobacterium_animalis_lactis_DSM_10140.xml|Bifidobacterium_animalis_lactis_V9.xml|Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml|Bifidobacterium_boum_DSM_20432.xml|Bifidobacterium_breve_HPH0326.xml|Bifidobacterium_breve_UCC2003_NCIMB8807.xml|Bifidobacterium_catenulatum_DSM_16992.xml|Bifidobacterium_coryneforme_DSM_20216.xml|Bifidobacterium_dentium_ATCC_27678.xml|Bifidobacterium_gallicum_DSM_20093.xml|Bifidobacterium_kashiwanohense_DSM_21854.xml|Bifidobacterium_longum_DJO10A.xml|Bifidobacterium_longum_E18.xml|Bifidobacterium_longum_infantis_157F_NC.xml|Bifidobacterium_longum_infantis_ATCC_15697.xml|Bifidobacterium_longum_longum_ATCC_55813.xml|Bifidobacterium_longum_longum_BBMN68.xml|Bifidobacterium_longum_longum_CCUG_52486.xml|Bifidobacterium_longum_longum_JCM_1217.xml|Bifidobacterium_longum_longum_JDM301.xml|Bifidobacterium_longum_NCC2705.xml|Bifidobacterium_mongoliense_DSM_21395.xml|Bifidobacterium_pseudocatenulatum_DSM_20438.xml|Bifidobacterium_pseudolongum_subsp_Pseudolongum_DSM_20099.xml|Bifidobacterium_ruminantium_DSM_6489.xml|Bifidobacterium_scardovii_JCM_12489.xml|Bifidobacterium_stercoris_DSM_24849.xml|Bifidobacterium_thermacidophilum_subsp_thermacidophilum_DSM_15837.xml|Bifidobacterium_thermophilum_RBL67.xml,138157,0.0054720560829802966
ERR414235,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,538,Bifidobacterium_adolescentis_ATCC_15703.xml|Bifidobacterium_angulatum_DSM_20098.xml|Bifidobacterium_animalis_lactis_AD011.xml|Bifidobacterium_animalis_lactis_BB_12.xml|Bifidobacterium_animalis_lactis_Bi_07.xml|Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219.xml|Bifidobacterium_animalis_lactis_CNCM_I_2494.xml|Bifidobacterium_animalis_lactis_DSM_10140.xml|Bifidobacterium_animalis_lactis_V9.xml|Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml|Bifidobacterium_boum_DSM_20432.xml|Bifidobacterium_breve_HPH0326.xml|Bifidobacterium_breve_UCC2003_NCIMB8807.xml|Bifidobacterium_catenulatum_DSM_16992.xml|Bifidobacterium_coryneforme_DSM_20216.xml|Bifidobacterium_dentium_ATCC_27678.xml|Bifidobacterium_gallicum_DSM_20093.xml|Bifidobacterium_kashiwanohense_DSM_21854.xml|Bifidobacterium_longum_DJO10A.xml|Bifidobacterium_longum_E18.xml|Bifidobacterium_longum_infantis_157F_NC.xml|Bifidobacterium_longum_infantis_ATCC_15697.xml|Bifidobacterium_longum_longum_ATCC_55813.xml|Bifidobacterium_longum_longum_BBMN68.xml|Bifidobacterium_longum_longum_CCUG_52486.xml|Bifidobacterium_longum_longum_JCM_1217.xml|Bifidobacterium_longum_longum_JDM301.xml|Bifidobacterium_longum_NCC2705.xml|Bifidobacterium_mongoliense_DSM_21395.xml|Bifidobacterium_pseudocatenulatum_DSM_20438.xml|Bifidobacterium_pseudolongum_subsp_Pseudolongum_DSM_20099.xml|Bifidobacterium_ruminantium_DSM_6489.xml|Bifidobacterium_scardovii_JCM_12489.xml|Bifidobacterium_stercoris_DSM_24849.xml|Bifidobacterium_thermacidophilum_subsp_thermacidophilum_DSM_15837.xml|Bifidobacterium_thermophilum_RBL67.xml,389864,0.03597331804825954
ERR414239,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,538,Bifidobacterium_adolescentis_ATCC_15703.xml|Bifidobacterium_angulatum_DSM_20098.xml|Bifidobacterium_animalis_lactis_AD011.xml|Bifidobacterium_animalis_lactis_BB_12.xml|Bifidobacterium_animalis_lactis_Bi_07.xml|Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219.xml|Bifidobacterium_animalis_lactis_CNCM_I_2494.xml|Bifidobacterium_animalis_lactis_DSM_10140.xml|Bifidobacterium_animalis_lactis_V9.xml|Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml|Bifidobacterium_boum_DSM_20432.xml|Bifidobacterium_breve_HPH0326.xml|Bifidobacterium_breve_UCC2003_NCIMB8807.xml|Bifidobacterium_catenulatum_DSM_16992.xml|Bifidobacterium_coryneforme_DSM_20216.xml|Bifidobacterium_dentium_ATCC_27678.xml|Bifidobacterium_gallicum_DSM_20093.xml|Bifidobacterium_kashiwanohense_DSM_21854.xml|Bifidobacterium_longum_DJO10A.xml|Bifidobacterium_longum_E18.xml|Bifidobacterium_longum_infantis_157F_NC.xml|Bifidobacterium_longum_infantis_ATCC_15697.xml|Bifidobacterium_longum_longum_ATCC_55813.xml|Bifidobacterium_longum_longum_BBMN68.xml|Bifidobacterium_longum_longum_CCUG_52486.xml|Bifidobacterium_longum_longum_JCM_1217.xml|Bifidobacterium_longum_longum_JDM301.xml|Bifidobacterium_longum_NCC2705.xml|Bifidobacterium_mongoliense_DSM_21395.xml|Bifidobacterium_pseudocatenulatum_DSM_20438.xml|Bifidobacterium_pseudolongum_subsp_Pseudolongum_DSM_20099.xml|Bifidobacterium_ruminantium_DSM_6489.xml|Bifidobacterium_scardovii_JCM_12489.xml|Bifidobacterium_stercoris_DSM_24849.xml|Bifidobacterium_thermacidophilum_subsp_thermacidophilum_DSM_15837.xml|Bifidobacterium_thermophilum_RBL67.xml,16878,0.0020511045619759152
ERR414240,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,538,Bifidobacterium_adolescentis_ATCC_15703.xml|Bifidobacterium_angulatum_DSM_20098.xml|Bifidobacterium_animalis_lactis_AD011.xml|Bifidobacterium_animalis_lactis_BB_12.xml|Bifidobacterium_animalis_lactis_Bi_07.xml|Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219.xml|Bifidobacterium_animalis_lactis_CNCM_I_2494.xml|Bifidobacterium_animalis_lactis_DSM_10140.xml|Bifidobacterium_animalis_lactis_V9.xml|Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml|Bifidobacterium_boum_DSM_20432.xml|Bifidobacterium_breve_HPH0326.xml|Bifidobacterium_breve_UCC2003_NCIMB8807.xml|Bifidobacterium_catenulatum_DSM_16992.xml|Bifidobacterium_coryneforme_DSM_20216.xml|Bifidobacterium_dentium_ATCC_27678.xml|Bifidobacterium_gallicum_DSM_20093.xml|Bifidobacterium_kashiwanohense_DSM_21854.xml|Bifidobacterium_longum_DJO10A.xml|Bifidobacterium_longum_E18.xml|Bifidobacterium_longum_infantis_157F_NC.xml|Bifidobacterium_longum_infantis_ATCC_15697.xml|Bifidobacterium_longum_longum_ATCC_55813.xml|Bifidobacterium_longum_longum_BBMN68.xml|Bifidobacterium_longum_longum_CCUG_52486.xml|Bifidobacterium_longum_longum_JCM_1217.xml|Bifidobacterium_longum_longum_JDM301.xml|Bifidobacterium_longum_NCC2705.xml|Bifidobacterium_mongoliense_DSM_21395.xml|Bifidobacterium_pseudocatenulatum_DSM_20438.xml|Bifidobacterium_pseudolongum_subsp_Pseudolongum_DSM_20099.xml|Bifidobacterium_ruminantium_DSM_6489.xml|Bifidobacterium_scardovii_JCM_12489.xml|Bifidobacterium_stercoris_DSM_24849.xml|Bifidobacterium_thermacidophilum_subsp_thermacidophilum_DSM_15837.xml|Bifidobacterium_thermophilum_RBL67.xml,436104,0.027956929414945837
ERR414241,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,538,Bifidobacterium_adolescentis_ATCC_15703.xml|Bifidobacterium_angulatum_DSM_20098.xml|Bifidobacterium_animalis_lactis_AD011.xml|Bifidobacterium_animalis_lactis_BB_12.xml|Bifidobacterium_animalis_lactis_Bi_07.xml|Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219.xml|Bifidobacterium_animalis_lactis_CNCM_I_2494.xml|Bifidobacterium_animalis_lactis_DSM_10140.xml|Bifidobacterium_animalis_lactis_V9.xml|Bifidobacterium_bifidum_BGN4.xml|Bifidobacterium_bifidum_NCIMB_41171.xml|Bifidobacterium_bifidum_PRL2010.xml|Bifidobacterium_bifidum_S17.xml|Bifidobacterium_boum_DSM_20432.xml|Bifidobacterium_breve_HPH0326.xml|Bifidobacterium_breve_UCC2003_NCIMB8807.xml|Bifidobacterium_catenulatum_DSM_16992.xml|Bifidobacterium_coryneforme_DSM_20216.xml|Bifidobacterium_dentium_ATCC_27678.xml|Bifidobacterium_gallicum_DSM_20093.xml|Bifidobacterium_kashiwanohense_DSM_21854.xml|Bifidobacterium_longum_DJO10A.xml|Bifidobacterium_longum_E18.xml|Bifidobacterium_longum_infantis_157F_NC.xml|Bifidobacterium_longum_infantis_ATCC_15697.xml|Bifidobacterium_longum_longum_ATCC_55813.xml|Bifidobacterium_longum_longum_BBMN68.xml|Bifidobacterium_longum_longum_CCUG_52486.xml|Bifidobacterium_longum_longum_JCM_1217.xml|Bifidobacterium_longum_longum_JDM301.xml|Bifidobacterium_longum_NCC2705.xml|Bifidobacterium_mongoliense_DSM_21395.xml|Bifidobacterium_pseudocatenulatum_DSM_20438.xml|Bifidobacterium_pseudolongum_subsp_Pseudolongum_DSM_20099.xml|Bifidobacterium_ruminantium_DSM_6489.xml|Bifidobacterium_scardovii_JCM_12489.xml|Bifidobacterium_stercoris_DSM_24849.xml|Bifidobacterium_thermacidophilum_subsp_thermacidophilum_DSM_15837.xml|Bifidobacterium_thermophilum_RBL67.xml,102089,0.008331165310414633
