strain,species,genus,family,order,class,phylum,kingdom,id,genbank,intercept,slope,rate,rsquared,pval
Akkermansia muciniphila ATCC BAA-835,Akkermansia muciniphila,Akkermansia,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,Bacteria,ERR260186,CP001071,2.70196013054173,1.78598674820963e-05,1.46323151408457,0.950672604658408,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260186,FP929053,1.64786564974548,5.02293325272171e-05,4.15704816409803,0.962705893891509,0
Methanobrevibacter smithii ATCC 35061,Methanobrevibacter smithii,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,ERR260186,CP000678,2.32907133333475,3.02479486359797e-05,1.56584535097965,0.907197178127163,0
Bifidobacterium longum NCC2705,Bifidobacterium longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260186,AE014295,1.17786922635145,4.13854608054429e-05,2.11102393996351,0.966734609995867,0
[Ruminococcus] torques L2-14,Ruminococcus torques,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260186,FP929055,1.10429136751063,4.49761583444184e-05,3.32807020230698,0.681116025085414,0
Coprococcus sp. ART55/1,Coprococcus sp. ART55/1,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260186,FP929039,2.67298624887578,2.04164170170958e-05,1.66543069016663,0.954874505832864,0
Odoribacter splanchnicus DSM 20712,Odoribacter splanchnicus,Odoribacter,Odoribacteraceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260186,CP002544,0.650952800856586,2.32919942366219e-05,2.26694722929985,0.522869399796153,0
Lachnospiraceae bacterium GAM79,Lachnospiraceae bacterium GAM79,"",Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260186,AP018536,3.17521580414773,1.71534615362344e-05,1.7501779175294,0.865041651148574,0
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260189,CP030777,0.849335051035058,0.000117413765536041,16.2941768093973,0.943858478695848,0
Coprococcus catus GD/7,Coprococcus catus,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260189,FP929038,0.9471611897994,3.41821744917699e-05,2.62047663688301,0.566647604372875,0
Alistipes finegoldii DSM 17242,Alistipes finegoldii,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260189,CP003274,2.82012369309598,1.18966056029225e-05,1.42675009323387,0.810902824239547,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260189,CP024160,1.8257262010106,5.23058938996897e-05,2.62503977508776,0.960941665494683,0
[Eubacterium] eligens ATCC 27750,Eubacterium eligens,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260189,CP001104,1.17425134337722,4.38963237352208e-05,2.12326211817027,0.888845152364317,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260189,CP012098,2.03943124410911,2.92764295414284e-05,2.10243108487055,0.843469876429717,0
Blautia obeum A2-162,Blautia obeum,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260189,FP929054,1.23979006498683,4.84141026023765e-05,4.28588868192219,0.840356968790863,0
Bifidobacterium adolescentis ATCC 15703,Bifidobacterium adolescentis,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260189,AP009256,2.31069530839573,5.20994906932202e-05,2.38929725086083,0.948230551974331,0
Ruminococcus bicirculans,Ruminococcus bicirculans,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260189,HF545616,1.89805036109601,1.89687481349264e-05,1.5690789630188,0.867778202184186,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260189,FP929053,0.951955040148263,5.33230165513673e-05,4.53833719109291,0.892442449363498,0
Roseburia hominis A2-183,Roseburia hominis,Roseburia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260189,CP003040,0.649255750499605,3.27086561844792e-05,2.55984997375792,0.501191776961731,0
Methanobrevibacter smithii ATCC 35061,Methanobrevibacter smithii,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,ERR260189,CP000678,2.0836118728592,5.19306497312648e-05,2.15948956715112,0.977703296971159,0
[Ruminococcus] torques L2-14,Ruminococcus torques,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260189,FP929055,0.742549026874786,5.92812683940068e-05,4.87843967127852,0.643230599264804,0
[Eubacterium] siraeum 70/3,Eubacterium siraeum,Eubacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260189,FP929044,0.862437997893848,2.79875464402271e-05,1.93295659177962,0.553518852242806,0
Roseburia intestinalis M50/1,Roseburia intestinalis,Roseburia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260189,FP929049,1.0508331441067,2.66905992490992e-05,2.4224191134107,0.560813599517901,0
[Eubacterium] rectale ATCC 33656,Eubacterium rectale,Eubacterium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260189,CP001107,3.53662247461408,2.15958737631025e-05,1.81485018954411,0.795656652221643,0
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260194,CP030777,2.27913347065251,4.86770571988275e-05,3.18039363129907,0.977161105894261,0
Lactobacillus ruminis ATCC 27782,Lactobacillus ruminis,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260194,CP003032,1.80538837901587,3.86027228262715e-05,1.89317898589881,0.989461394226392,0
Coprococcus catus GD/7,Coprococcus catus,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260194,FP929038,1.79665066935513,2.70347340876154e-05,2.14238546351502,0.641629569508758,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260194,CP024160,3.52400924582588,5.23831239438089e-05,2.62878304846486,0.983610508885528,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260194,CP012098,1.61035973155402,4.44339388001812e-05,3.08892222208985,0.933768117460487,0
Blautia obeum A2-162,Blautia obeum,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260194,FP929054,0.62931560604777,0.000105468028599045,23.8162695027575,0.901829802717917,0
Bacteroides caccae,Bacteroides caccae,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260194,CP022412,0.808126516759416,1.26842230808664e-05,1.59016322726625,0.9230853046807,0
Bifidobacterium adolescentis ATCC 15703,Bifidobacterium adolescentis,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260194,AP009256,2.72195478366588,5.29197903215434e-05,2.42228922699129,0.947649283762143,0
Ruminococcus bicirculans,Ruminococcus bicirculans,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260194,HF545616,3.3215072075472,1.97193954156497e-05,1.5973019453728,0.971282582983648,0
[Eubacterium] hallii,Eubacterium hallii,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260194,LT907978,0.998217887998382,0.000110432643280375,22.3321763666773,0.978188762173739,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260194,FP929053,1.8691550633485,6.72648260689093e-05,6.73982564753032,0.979736490459458,0
Methanobrevibacter smithii ATCC 35061,Methanobrevibacter smithii,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,ERR260194,CP000678,1.84713195845539,3.88879485991192e-05,1.77982285196234,0.962841176624957,0
Bifidobacterium longum NCC2705,Bifidobacterium longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260194,AE014295,1.97529254159938,4.24691121717738e-05,2.15273117763121,0.940425251949591,0
[Ruminococcus] torques L2-14,Ruminococcus torques,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260194,FP929055,2.32574242825598,3.95369040875325e-05,2.87766612937993,0.780593535328039,0
Monoglobus pectinilyticus,Monoglobus pectinilyticus,Monoglobus,"",Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260194,CP020991,0.885839442515008,1.96900374097329e-05,1.54452534940012,0.989884776226517,0
[Eubacterium] rectale ATCC 33656,Eubacterium rectale,Eubacterium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260194,CP001107,4.11238912705361,2.085975640469e-05,1.77835282605597,0.856644812543657,0
Bifidobacterium bifidum PRL2010,Bifidobacterium bifidum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260194,CP001840,2.04676515324248,2.20448915050593e-05,1.47785452046766,0.997322733788369,0
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260195,CP030777,1.37345678121332,0.000113866471270722,14.9766475148145,0.973095442020164,0
Methanosphaera stadtmanae DSM 3091,Methanosphaera stadtmanae,Methanosphaera,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,ERR260195,CP000102,0.70435660248712,3.45131252744754e-05,1.62908024938555,0.687811492628399,0
Coprococcus catus GD/7,Coprococcus catus,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260195,FP929038,0.781891997793467,3.4173899170687e-05,2.6198655517425,0.545944576667871,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260195,CP024160,0.922725123320228,6.04481880849239e-05,3.05057323345516,0.952837154421404,0
[Eubacterium] eligens ATCC 27750,Eubacterium eligens,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260195,CP001104,1.26189493471932,5.65574107403337e-05,2.63828547905489,0.965513216944971,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260195,CP012098,1.70359385195301,3.16199320364388e-05,2.23128380013037,0.964555203920531,0
Blautia obeum A2-162,Blautia obeum,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260195,FP929054,0.87330142028011,5.13002587739145e-05,4.67432972786935,0.75278909205175,0
Bifidobacterium adolescentis ATCC 15703,Bifidobacterium adolescentis,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260195,AP009256,0.869325734657478,4.44211565044611e-05,2.10146116249229,0.9536610953608,0
Lactococcus lactis subsp. lactis Il1403,Lactococcus lactis,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260195,AE005176,2.45861574208652,2.9111466585794e-05,1.73487350877545,0.994782733648771,0
[Eubacterium] hallii,Eubacterium hallii,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260195,LT907978,1.31640927010301,3.10034999078203e-05,2.39170006755278,0.620931139911991,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260195,FP929053,1.2265177204708,4.50419749620555e-05,3.58823580241479,0.941294023903533,0
Methanobrevibacter smithii ATCC 35061,Methanobrevibacter smithii,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,ERR260195,CP000678,2.86441442728866,3.30346903608027e-05,1.63189070544887,0.933092053063235,0
[Ruminococcus] torques L2-14,Ruminococcus torques,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260195,FP929055,1.06402268465719,4.15771304527364e-05,3.03898325998447,0.739342375220254,0
[Eubacterium] siraeum 70/3,Eubacterium siraeum,Eubacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260195,FP929044,1.10154175155512,2.63999754560175e-05,1.86202875542958,0.923049764574646,0
Roseburia intestinalis M50/1,Roseburia intestinalis,Roseburia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260195,FP929049,1.12433108521444,2.68788332756817e-05,2.43758170726083,0.561215751266188,0
Streptococcus thermophilus JIM 8232,Streptococcus thermophilus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260198,FR875178,2.13342444600316,4.80534173501721e-05,2.10011649563785,0.918111515511112,0
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260198,CP030777,2.16105693841461,9.24801746397589e-05,9.00843419259666,0.9832879067775,0
Eggerthella lenta DSM 2243,Eggerthella lenta,Eggerthella,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinobacteria,Bacteria,ERR260198,CP001726,1.23089323820554,2.65148460948248e-05,2.16077812055688,0.989510075852972,0
Oscillibacter sp. PEA192,Oscillibacter sp. PEA192,Oscillibacter,Oscillospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260198,AP018532,0.90298946946178,2.18504019577461e-05,1.78681387832558,0.784347867950411,0
Bacteroides thetaiotaomicron VPI-5482,Bacteroides thetaiotaomicron,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260198,AE015928,1.01810181929211,1.17720421303259e-05,1.80322943154719,0.913359048256858,0
Alistipes finegoldii DSM 17242,Alistipes finegoldii,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260198,CP003274,1.00068703422833,2.66955997261629e-05,2.21999367375316,0.699869805459121,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260198,CP012098,3.62126708340434,2.71767090407494e-05,1.99331529290686,0.945413406958073,0
Blautia obeum A2-162,Blautia obeum,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260198,FP929054,1.30064277256493,5.60846674702872e-05,5.39733387155484,0.871875750285433,0
Bifidobacterium adolescentis ATCC 15703,Bifidobacterium adolescentis,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260198,AP009256,1.84161015083481,4.91047836868246e-05,2.27262096068317,0.967609595201969,0
Ruminococcus bicirculans,Ruminococcus bicirculans,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260198,HF545616,3.45017916524022,2.03501341851781e-05,1.62140869590336,0.93417790922227,0
Akkermansia muciniphila ATCC BAA-835,Akkermansia muciniphila,Akkermansia,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,Bacteria,ERR260198,CP001071,2.45313490815372,1.15836538771713e-05,1.28002859187469,0.990850854494479,0
[Eubacterium] hallii,Eubacterium hallii,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260198,LT907978,0.801351136350734,8.01342365057673e-05,9.52438675212617,0.943041936328267,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260198,FP929053,1.62504379875968,3.61375313888579e-05,2.78731067549959,0.835555458259451,0
[Eubacterium] siraeum 70/3,Eubacterium siraeum,Eubacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260198,FP929044,0.719303549759497,3.0210345493651e-05,2.0368270221268,0.554213653650838,0
Bacteroides fragilis YCH46,Bacteroides fragilis,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260198,AP006841,1.98189406568709,1.01834403214093e-05,1.53714143960717,0.977884126524405,0
Roseburia intestinalis M50/1,Roseburia intestinalis,Roseburia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260198,FP929049,1.3223009877542,2.69875006612234e-05,2.44637823502947,0.610690369974306,0
[Eubacterium] rectale ATCC 33656,Eubacterium rectale,Eubacterium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260198,CP001107,2.53140623523657,2.47757360235464e-05,1.98131499425727,0.729661488487201,0
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260199,CP030777,1.84801333267988,6.14485769164214e-05,4.30841990154486,0.986478389508733,0
Alistipes finegoldii DSM 17242,Alistipes finegoldii,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260199,CP003274,0.756153200604279,5.89837867646945e-05,5.82454943245463,0.95736437620671,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260199,CP024160,2.04073734342893,7.03229069500612e-05,3.66023720761011,0.975842322306395,0
Bifidobacterium adolescentis ATCC 15703,Bifidobacterium adolescentis,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260199,AP009256,2.69904406412842,4.9049256166769e-05,2.27051224493074,0.953607999772398,0
Akkermansia muciniphila ATCC BAA-835,Akkermansia muciniphila,Akkermansia,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,Bacteria,ERR260199,CP001071,2.11646570890819,1.34111571508454e-05,1.33086884032993,0.99381834707002,0
[Eubacterium] hallii,Eubacterium hallii,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260199,LT907978,0.77508896911912,3.2319630266819e-05,2.48189385731116,0.790173706207852,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260199,FP929053,0.895108363299847,2.94061536170443e-05,2.30282113906772,0.813740893020843,0
Desulfovibrio piger,Desulfovibrio piger,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,ERR260199,LT630450,0.828502021328625,4.58783353903086e-05,2.80239186828934,0.836957242625755,0
Methanobrevibacter smithii ATCC 35061,Methanobrevibacter smithii,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,ERR260199,CP000678,1.61366042110611,3.15871800771955e-05,1.59724448014371,0.970657832023052,0
Bifidobacterium longum NCC2705,Bifidobacterium longum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260199,AE014295,2.21353318393001,4.97810645429375e-05,2.45652399184775,0.956908282927458,0
[Ruminococcus] torques L2-14,Ruminococcus torques,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260199,FP929055,0.73525600675117,4.94429944501296e-05,3.75019940647945,0.656849332278861,0
Coprococcus sp. ART55/1,Coprococcus sp. ART55/1,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260199,FP929039,2.75702996193726,2.16684940953187e-05,1.71835193899173,0.959582807359318,0
[Eubacterium] siraeum 70/3,Eubacterium siraeum,Eubacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260199,FP929044,2.19360473408845,7.37458339992063e-05,5.67781740392132,0.953874556208674,0
Bacteroides fragilis YCH46,Bacteroides fragilis,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260199,AP006841,0.729992799419823,1.25420824066967e-05,1.69808583124144,0.899990938762679,0
[Eubacterium] rectale ATCC 33656,Eubacterium rectale,Eubacterium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260199,CP001107,1.37265701794863,2.10031567018898e-05,1.78540471149047,0.844818701264743,0
Streptococcus thermophilus JIM 8232,Streptococcus thermophilus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260200,FR875178,1.48246847758805,3.99048689097925e-05,1.85182396578828,0.943552790047136,0
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260200,CP030777,1.84676914900608,6.93076318326967e-05,5.19331956715895,0.967346351630373,0
Alistipes shahii WAL 8301,Alistipes shahii,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260200,FP929032,1.14667393741668,2.18584434678189e-05,1.93110457428132,0.826083819870775,0
Alistipes finegoldii DSM 17242,Alistipes finegoldii,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260200,CP003274,1.22595176470296,1.97379656861603e-05,1.80336071304277,0.772254463789025,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260200,CP024160,1.56624895670303,5.56353357239499e-05,2.79135622379459,0.955154828536173,0
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260200,CP012098,3.21024108864285,3.14456375246888e-05,2.22143452948953,0.934954813839601,0
Akkermansia muciniphila ATCC BAA-835,Akkermansia muciniphila,Akkermansia,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,Bacteria,ERR260200,CP001071,2.12265703655415,1.81646404360329e-05,1.47276705482874,0.956057457072416,0
Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260200,FP929053,2.09422193406134,2.6685011867668e-05,2.13175811771572,0.874435794072794,0
Methanobrevibacter smithii ATCC 35061,Methanobrevibacter smithii,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,ERR260200,CP000678,1.32130884106054,5.40202438215781e-05,2.22743369787235,0.985397662681418,0
Coprococcus sp. ART55/1,Coprococcus sp. ART55/1,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260200,FP929039,3.50069849542947,2.28242380225949e-05,1.76869283553771,0.952345299843304,0
Lachnospiraceae bacterium GAM79,Lachnospiraceae bacterium GAM79,"",Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260200,AP018536,1.0117485537127,2.40378066663225e-05,2.19099029588261,0.606663961772303,0
[Eubacterium] rectale ATCC 33656,Eubacterium rectale,Eubacterium,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260200,CP001107,2.40348316427385,2.45310668473472e-05,1.96798146983815,0.720778639172675,0
Lactobacillus reuteri DSM 20016,Lactobacillus reuteri,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260203,CP000705,1.39158046018621,3.96573737896775e-05,1.88596318880017,0.955935679781307,0
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260203,CP030777,1.6039314442344,5.60717043864762e-05,3.79152510892525,0.940397236985173,0
Collinsella aerofaciens,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260203,CP024160,0.910456393661657,4.99742865590414e-05,2.51450398465836,0.976430966071315,0
[Eubacterium] eligens ATCC 27750,Eubacterium eligens,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260203,CP001104,2.20618811891544,5.02985514489859e-05,2.36971821867461,0.899233505783719,0
Bifidobacterium adolescentis ATCC 15703,Bifidobacterium adolescentis,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria,ERR260203,AP009256,1.20925274412663,5.3216500359365e-05,2.43433459684517,0.991109924320625,0
Ruminococcus bicirculans,Ruminococcus bicirculans,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260203,HF545616,2.5627975731618,2.07513652950461e-05,1.63693268140121,0.949452680350631,0
Lactococcus lactis subsp. lactis Il1403,Lactococcus lactis,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,ERR260203,AE005176,0.871301119678968,3.69441236202359e-05,2.01207703547298,0.862394896542794,0
Akkermansia muciniphila ATCC BAA-835,Akkermansia muciniphila,Akkermansia,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,Bacteria,ERR260203,CP001071,2.67303437706048,1.82943862809921e-05,1.47684529421015,0.940299917097093,0
Olsenella sp. GAM18,Olsenella sp. GAM18,Olsenella,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria,ERR260203,AP018530,0.835984465583734,3.87795636469859e-05,1.91878191816177,0.926017935446277,0
Methanobrevibacter smithii ATCC 35061,Methanobrevibacter smithii,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea,ERR260203,CP000678,1.16698740231769,3.76965680230652e-05,1.74866321858858,0.910694429486649,0
Coprococcus sp. ART55/1,Coprococcus sp. ART55/1,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260203,FP929039,3.00761892401211,2.08161183675226e-05,1.68214522971791,0.958142194613433,0
Klebsiella pneumoniae subsp. pneumoniae HS11286,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,ERR260203,CP003200,1.28230637664372,3.93359789502468e-05,5.35796495140845,0.989135552482103,0
Bacteroides vulgatus ATCC 8482,Bacteroides vulgatus,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,ERR260203,CP000139,0.911902403059456,5.12756682105787e-05,8.3140052761285,0.984883824313778,0
Lachnospiraceae bacterium GAM79,Lachnospiraceae bacterium GAM79,"",Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,ERR260203,AP018536,0.926932678666498,4.48151350606854e-05,4.31595170265176,0.964409660561201,0
