samples,kingdom,phylum,class,order,family,genus,species,oxygenstat,metabolism,gram,mtype,genes,file,reads,relative,taxa_id
ERR321584,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,31800,0.0030751398826012197,28116.0
ERR321587,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,48017,0.00590862688812235,28116.0
ERR321589,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,67982,0.00523369839063505,28116.0
ERR321590,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,205168,0.00882215190537463,28116.0
ERR321592,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,50633,0.0027478186987779,28116.0
ERR321602,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,45725,0.0037847970599679897,28116.0
ERR321606,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,209278,0.00917135723755098,28116.0
ERR321608,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,145219,0.0068293767555891605,28116.0
ERR321612,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,145364,0.0138152271813388,28116.0
ERR321614,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,241735,0.0116337755693649,28116.0
ERR321616,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,128355,0.00803061663598655,28116.0
ERR321619,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,44218,0.00477787030682943,28116.0
ERR321627,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,40493,0.0036720437703482295,28116.0
ERR321628,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,35904,0.004645734293603579,28116.0
ERR321631,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,192552,0.0152019689483568,28116.0
ERR321634,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,106536,0.00692327232883022,28116.0
ERR321640,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,55125,0.0029938545737788398,28116.0
ERR321642,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,3886620,0.0906661830664127,28116.0
ERR321648,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,152268,0.00773476032316047,28116.0
ERR414233,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,35421,0.0026900522973324604,28116.0
ERR414234,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,818166,0.0324055258668591,28116.0
ERR414235,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,51061,0.00471147270038315,28116.0
ERR414239,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,37709,0.00458259876333391,28116.0
ERR414240,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,1006184,0.0645025385377064,28116.0
ERR414241,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,44570,0.0036372188765212703,28116.0
ERR414242,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,52676,0.0067301591519866606,28116.0
ERR414244,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,41214,0.0025152853906617104,28116.0
ERR414246,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,233463,0.00989063502856453,28116.0
ERR414250,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,729306,0.0532930337158786,28116.0
ERR414252,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,15190,0.000856583117575704,28116.0
ERR414254,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,34493,0.00733865979940755,28116.0
ERR414261,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,148900,0.0125968174128117,28116.0
ERR414262,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,163674,0.0180824977918061,28116.0
ERR414265,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,91666,0.00624656635107875,28116.0
ERR414266,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,30480,0.0020454481397025,28116.0
ERR414267,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,37679,0.0018301007495258,28116.0
ERR414268,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,862566,0.0306165607692762,28116.0
ERR414270,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,54552,0.0153044735117471,28116.0
ERR414274,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,47044,0.00430223837294108,28116.0
ERR414277,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,725809,0.0299855688493051,28116.0
ERR414278,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,44653,0.0044300698693638795,28116.0
ERR414279,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,53128,0.0054562620435369205,28116.0
ERR414282,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,187292,0.0155750395546396,28116.0
ERR414283,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,671955,0.0293635393684808,28116.0
ERR414288,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,399862,0.0219374827114123,28116.0
ERR414292,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,326238,0.0196115065617555,28116.0
ERR414294,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,620843,0.0465816550318133,28116.0
ERR414295,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,179453,0.0140169797502746,28116.0
ERR414297,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,110934,0.00835152313250099,28116.0
ERR414301,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,42600,0.0037430460399056203,28116.0
ERR414302,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,129259,0.0111508180075976,28116.0
ERR414305,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,295806,0.0149273645540719,28116.0
ERR414306,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,64404,0.00326686487797648,28116.0
ERR414308,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,371067,0.0135151146182551,28116.0
ERR414309,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,409760,0.0247632066708849,28116.0
ERR414311,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,474133,0.0308650016088914,28116.0
ERR414312,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,154010,0.0115924020802946,28116.0
ERR414313,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,45578,0.00497507713181531,28116.0
ERR414315,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,576397,0.0288919802733514,28116.0
ERR414316,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,98160,0.00564205830287852,28116.0
ERR414318,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,35356,0.00174487866317303,28116.0
ERR414319,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,125431,0.00682005904580941,28116.0
ERR414320,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,73437,0.00562217659546305,28116.0
ERR414321,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,30485,0.00322558630070167,28116.0
ERR414322,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,466313,0.0360657766358599,28116.0
ERR414324,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,64043,0.0195892086991099,28116.0
ERR414325,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,233842,0.0123924408241369,28116.0
ERR414326,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,82123,0.00450635116044455,28116.0
ERR414329,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,60528,0.0104507598072563,28116.0
ERR414330,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,146003,0.0103272343308129,28116.0
ERR414331,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,35929,0.0018724284660824602,28116.0
ERR414332,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,155343,0.0118229460121008,28116.0
ERR414333,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,187186,0.0203536250157801,28116.0
ERR414334,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,131175,0.00803414427099825,28116.0
ERR414335,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,1272516,0.035847672996934,28116.0
ERR414336,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus,Nanaerobe,"Saccharolytic, fermentative",Negative,Commensal,851,Bacteroides_ovatus_ATCC_8483.xml|Bacteroides_ovatus_SD_CC_2a.xml|Bacteroides_ovatus_SD_CMC_3f.xml,190642,0.007862612597007221,28116.0
