compartments,abundance,growth_rate,reactions,metabolites,tradeoff,sample
medium,,,780,780,0.7000000000000001,ERR414262
Alistipes,0.00987756701359814,0.16843533079701065,2650,1613,0.6,ERR414262
Anaerostipes,0.01677346221423697,0.121409379632646,2034,1491,0.6,ERR414262
Bacteroides,0.576529789023487,0.45568188304470447,3307,1887,0.6,ERR414262
Bifidobacterium,0.003539956144718745,0.10383581558238227,3108,1734,0.6,ERR414262
Blautia,0.02036158295494613,0.10336681195811985,3108,1818,0.6,ERR414262
Clostridium,0.0020664028285650618,0.0798929250618354,3532,2001,0.6,ERR414262
Collinsella,0.0062547394316606,0.09408851294889291,2629,1587,0.6,ERR414262
Coprococcus,0.005230533463982161,0.12638179256477036,2188,1591,0.6,ERR414262
Desulfovibrio,0.008508559202858937,0.11404642669263458,1739,1384,0.6,ERR414262
Eubacterium,0.11190902217795487,0.04214396878747628,2482,1761,0.6,ERR414262
Faecalibacterium,0.07127496077064487,0.03756426871241278,1986,1472,0.6,ERR414262
Flavonifractor,0.005190301860272524,0.16945741821056098,1207,1105,0.6,ERR414262
Lachnoclostridium,0.005000193366686844,0.10546287644416157,3174,1970,0.6,ERR414262
Odoribacter,0.01510144243048751,0.17558431752708478,2526,1594,0.6,ERR414262
Parabacteroides,0.03973140021421912,0.09380393227000883,2870,1747,0.6,ERR414262
Prevotella,0.02386102417480235,0.14225878753965446,2861,1722,0.6,ERR414262
Roseburia,0.0261025194758502,0.08540682575523607,2357,1567,0.6,ERR414262
Ruminococcus,0.048849241556356754,0.0643416878865946,2983,1793,0.6,ERR414262
Sutterella,0.00383730169467131,0.11328105318242013,1233,1081,0.6,ERR414262
medium,,,780,780,0.6,ERR414262
Alistipes,0.00987756701359814,0.8841619756466103,2650,1613,0.5,ERR414262
Anaerostipes,0.01677346221423697,0.3474006048908604,2034,1491,0.5,ERR414262
Bacteroides,0.576529789023487,0.19052734800579332,3307,1887,0.5,ERR414262
Bifidobacterium,0.003539956144718745,0.6039633044091094,3108,1734,0.5,ERR414262
Blautia,0.02036158295494613,0.2959460362155455,3108,1818,0.5,ERR414262
Clostridium,0.0020664028285650618,0.4057816794875039,3532,2001,0.5,ERR414262
Collinsella,0.0062547394316606,0.39392296367609414,2629,1587,0.5,ERR414262
Coprococcus,0.005230533463982161,0.4874247399633948,2188,1591,0.5,ERR414262
Desulfovibrio,0.008508559202858937,0.4728655063860969,1739,1384,0.5,ERR414262
Eubacterium,0.11190902217795487,0.10911915150590942,2482,1761,0.5,ERR414262
Faecalibacterium,0.07127496077064487,0.10363948607883357,1986,1472,0.5,ERR414262
Flavonifractor,0.005190301860272524,0.22363213306345808,1207,1105,0.5,ERR414262
Lachnoclostridium,0.005000193366686844,0.6302786781253694,3174,1970,0.5,ERR414262
Odoribacter,0.01510144243048751,0.9687975560338116,2526,1594,0.5,ERR414262
Parabacteroides,0.03973140021421912,0.4690435956152297,2870,1747,0.5,ERR414262
Prevotella,0.02386102417480235,1.2419629296346117,2861,1722,0.5,ERR414262
Roseburia,0.0261025194758502,0.25043307025683836,2357,1567,0.5,ERR414262
Ruminococcus,0.048849241556356754,0.18049037751995295,2983,1793,0.5,ERR414262
Sutterella,0.00383730169467131,0.48115085982403555,1233,1081,0.5,ERR414262
medium,,,780,780,0.5,ERR414262
Alistipes,0.00987756701359814,0.014052120043988224,2650,1613,0.4,ERR414262
Anaerostipes,0.01677346221423697,2.0265405288411047e-05,2034,1491,0.4,ERR414262
Bacteroides,0.576529789023487,0.3401988335662925,3307,1887,0.4,ERR414262
Bifidobacterium,0.003539956144718745,0.00714082178821512,3108,1734,0.4,ERR414262
Blautia,0.02036158295494613,1.651399229994781e-05,3108,1818,0.4,ERR414262
Clostridium,0.0020664028285650618,0.0009057187043052883,3532,2001,0.4,ERR414262
Collinsella,0.0062547394316606,0.00010333336758147986,2629,1587,0.4,ERR414262
Coprococcus,0.005230533463982161,0.00028650288751489095,2188,1591,0.4,ERR414262
Desulfovibrio,0.008508559202858937,0.00020580497677042138,1739,1384,0.4,ERR414262
Eubacterium,0.11190902217795487,1.1080252185067756e-05,2482,1761,0.4,ERR414262
Faecalibacterium,0.07127496077064487,9.78675035017195e-05,1986,1472,0.4,ERR414262
Flavonifractor,0.005190301860272524,2.3926604868547357e-05,1207,1105,0.4,ERR414262
Lachnoclostridium,0.005000193366686844,0.0005205912238189069,3174,1970,0.4,ERR414262
Odoribacter,0.01510144243048751,0.01984360687452681,2526,1594,0.4,ERR414262
Parabacteroides,0.03973140021421912,2.6975916113922988e-05,2870,1747,0.4,ERR414262
Prevotella,0.02386102417480235,0.01680396128300591,2861,1722,0.4,ERR414262
Roseburia,0.0261025194758502,3.6698375848131975e-05,2357,1567,0.4,ERR414262
Ruminococcus,0.048849241556356754,1.6835607869417573e-05,2983,1793,0.4,ERR414262
Sutterella,0.00383730169467131,0.002455795416524981,1233,1081,0.4,ERR414262
medium,,,780,780,0.4,ERR414262
Alistipes,0.00987756701359814,1.901094143664064e-09,2650,1613,0.30000000000000004,ERR414262
Anaerostipes,0.01677346221423697,1.1442961017508647e-09,2034,1491,0.30000000000000004,ERR414262
Bacteroides,0.576529789023487,0.25631258489774866,3307,1887,0.30000000000000004,ERR414262
Bifidobacterium,0.003539956144718745,1.4606033273561006e-09,3108,1734,0.30000000000000004,ERR414262
Blautia,0.02036158295494613,8.602146940652226e-10,3108,1818,0.30000000000000004,ERR414262
Clostridium,0.0020664028285650618,1.676315135960943e-07,3532,2001,0.30000000000000004,ERR414262
Collinsella,0.0062547394316606,8.483762400253658e-10,2629,1587,0.30000000000000004,ERR414262
Coprococcus,0.005230533463982161,1.5761424257193056e-09,2188,1591,0.30000000000000004,ERR414262
Desulfovibrio,0.008508559202858937,1.0658528884879422e-09,1739,1384,0.30000000000000004,ERR414262
Eubacterium,0.11190902217795487,2.9163907559050873e-10,2482,1761,0.30000000000000004,ERR414262
Faecalibacterium,0.07127496077064487,2.873218201212073e-10,1986,1472,0.30000000000000004,ERR414262
Flavonifractor,0.005190301860272524,2.5303409296382027e-07,1207,1105,0.30000000000000004,ERR414262
Lachnoclostridium,0.005000193366686844,1.1520444164830426e-09,3174,1970,0.30000000000000004,ERR414262
Odoribacter,0.01510144243048751,1.34538585317864e-09,2526,1594,0.30000000000000004,ERR414262
Parabacteroides,0.03973140021421912,7.859890271873666e-10,2870,1747,0.30000000000000004,ERR414262
Prevotella,0.02386102417480235,1.2362804301853565e-09,2861,1722,0.30000000000000004,ERR414262
Roseburia,0.0261025194758502,6.621292298332676e-10,2357,1567,0.30000000000000004,ERR414262
Ruminococcus,0.048849241556356754,4.528099356931689e-10,2983,1793,0.30000000000000004,ERR414262
Sutterella,0.00383730169467131,1.5092653329249493e-09,1233,1081,0.30000000000000004,ERR414262
medium,,,780,780,0.30000000000000004,ERR414262
Alistipes,0.00987756701359814,1.6754294014750053e-08,2650,1613,0.2,ERR414262
Anaerostipes,0.01677346221423697,5.330634534860181e-09,2034,1491,0.2,ERR414262
Bacteroides,0.576529789023487,0.17087505557802032,3307,1887,0.2,ERR414262
Bifidobacterium,0.003539956144718745,7.315213158856345e-09,3108,1734,0.2,ERR414262
Blautia,0.02036158295494613,2.9944341033034504e-09,3108,1818,0.2,ERR414262
Clostridium,0.0020664028285650618,1.1805121835320233e-08,3532,2001,0.2,ERR414262
Collinsella,0.0062547394316606,5.275858670794387e-09,2629,1587,0.2,ERR414262
Coprococcus,0.005230533463982161,1.2065039498215851e-08,2188,1591,0.2,ERR414262
Desulfovibrio,0.008508559202858937,3.856067437212921e-09,1739,1384,0.2,ERR414262
Eubacterium,0.11190902217795487,2.0043919701853247e-09,2482,1761,0.2,ERR414262
Faecalibacterium,0.07127496077064487,2.2922862705568314e-09,1986,1472,0.2,ERR414262
Flavonifractor,0.005190301860272524,2.526615276763629e-08,1207,1105,0.2,ERR414262
Lachnoclostridium,0.005000193366686844,4.154626978301708e-09,3174,1970,0.2,ERR414262
Odoribacter,0.01510144243048751,1.1183853563249708e-08,2526,1594,0.2,ERR414262
Parabacteroides,0.03973140021421912,3.4736118629962115e-09,2870,1747,0.2,ERR414262
Prevotella,0.02386102417480235,2.3922374529160826e-09,2861,1722,0.2,ERR414262
Roseburia,0.0261025194758502,3.696059860851218e-09,2357,1567,0.2,ERR414262
Ruminococcus,0.048849241556356754,2.3256377001430157e-09,2983,1793,0.2,ERR414262
Sutterella,0.00383730169467131,1.520671139386915e-08,1233,1081,0.2,ERR414262
medium,,,780,780,0.2,ERR414262
Alistipes,0.00987756701359814,5.66769955893983e-05,2650,1613,0.1,ERR414262
Anaerostipes,0.01677346221423697,1.007127325918148e-05,2034,1491,0.1,ERR414262
Bacteroides,0.576529789023487,0.08543872215536369,3307,1887,0.1,ERR414262
Bifidobacterium,0.003539956144718745,2.182755851853192e-05,3108,1734,0.1,ERR414262
Blautia,0.02036158295494613,4.345743169615485e-06,3108,1818,0.1,ERR414262
Clostridium,0.0020664028285650618,4.0090134715116765e-05,3532,2001,0.1,ERR414262
Collinsella,0.0062547394316606,1.4881639852177429e-05,2629,1587,0.1,ERR414262
Coprococcus,0.005230533463982161,3.5137924393518395e-05,2188,1591,0.1,ERR414262
Desulfovibrio,0.008508559202858937,9.522271455691185e-06,1739,1384,0.1,ERR414262
Eubacterium,0.11190902217795487,4.572631066504371e-06,2482,1761,0.1,ERR414262
Faecalibacterium,0.07127496077064487,4.00694415781873e-06,1986,1472,0.1,ERR414262
Flavonifractor,0.005190301860272524,7.713811084686641e-05,1207,1105,0.1,ERR414262
Lachnoclostridium,0.005000193366686844,1.1850665045854338e-05,3174,1970,0.1,ERR414262
Odoribacter,0.01510144243048751,2.6007949937568145e-05,2526,1594,0.1,ERR414262
Parabacteroides,0.03973140021421912,3.6553040961527006e-06,2870,1747,0.1,ERR414262
Prevotella,0.02386102417480235,2.79936858863177e-06,2861,1722,0.1,ERR414262
Roseburia,0.0261025194758502,4.78915977217172e-06,2357,1567,0.1,ERR414262
Ruminococcus,0.048849241556356754,2.5431078169686608e-06,2983,1793,0.1,ERR414262
Sutterella,0.00383730169467131,5.022179071000035e-05,1233,1081,0.1,ERR414262
medium,,,780,780,0.1,ERR414262
Akkermansia,0.13724956436844768,0.0,2274,1386,,ERR414278
Alistipes,0.06341974829430153,7.766867826134927,2650,1613,,ERR414278
Anaerostipes,0.006923475037513884,0.0,2034,1491,,ERR414278
Bacteroides,0.3135639786057438,0.0,3307,1887,,ERR414278
Bifidobacterium,0.010371559686983816,0.0,3108,1734,,ERR414278
Blautia,0.024571383922045057,0.0,3108,1818,,ERR414278
Collinsella,0.00953530393947592,0.0,2629,1587,,ERR414278
Coprococcus,0.01150705832337724,1.461053500406706e-13,2188,1591,,ERR414278
Desulfovibrio,0.008718792341398468,0.0,1739,1384,,ERR414278
Dialister,0.001427319965563963,0.0,1187,1056,,ERR414278
Eubacterium,0.2436517658551121,-5.945799408380026e-13,2482,1761,,ERR414278
Faecalibacterium,0.02549781862156151,0.0,1986,1472,,ERR414278
Flavonifractor,0.002402484906227893,0.0,1207,1105,,ERR414278
Klebsiella,0.0028998694365607878,0.0,2632,1836,,ERR414278
Lachnoclostridium,0.008892848921129265,0.0,3174,1970,,ERR414278
Methanobrevibacter,0.007516219608712967,0.0,1063,1000,,ERR414278
Odoribacter,0.02011382712190794,0.0,2526,1594,,ERR414278
Olsenella,0.00341055676260923,0.0,1417,1193,,ERR414278
Parabacteroides,0.05401047084055185,0.0,2870,1747,,ERR414278
Prevotella,0.005741346601401751,0.0,2861,1722,,ERR414278
Roseburia,0.016871585732457534,2.682298827494378e-13,2357,1567,,ERR414278
Ruminococcus,0.012024887150283504,0.0,2983,1793,,ERR414278
Shigella,0.009678133956632326,0.0,1858,1430,,ERR414278
medium,,,786,786,,ERR414278
Akkermansia,0.13724956436844768,5.81675163269839e-11,2274,1386,1.0,ERR414278
Alistipes,0.06341974829430153,6.800051697243636,2650,1613,1.0,ERR414278
Anaerostipes,0.006923475037513884,2.4366872781112022e-11,2034,1491,1.0,ERR414278
Bacteroides,0.3135639786057438,1.752239871603558e-11,3307,1887,1.0,ERR414278
Bifidobacterium,0.010371559686983816,0.28947227679697807,3108,1734,1.0,ERR414278
Blautia,0.024571383922045057,1.4942457512403498e-11,3108,1818,1.0,ERR414278
Collinsella,0.00953530393947592,1.348533565791923e-11,2629,1587,1.0,ERR414278
Coprococcus,0.01150705832337724,2.5603409231462468e-11,2188,1591,1.0,ERR414278
Desulfovibrio,0.008718792341398468,4.245713519789161e-11,1739,1384,1.0,ERR414278
Dialister,0.001427319965563963,0.1530235800827693,1187,1056,1.0,ERR414278
Eubacterium,0.2436517658551121,0.0005667264936543654,2482,1761,1.0,ERR414278
Faecalibacterium,0.02549781862156151,7.349334710041444e-12,1986,1472,1.0,ERR414278
Flavonifractor,0.002402484906227893,2.2326805939258182e-11,1207,1105,1.0,ERR414278
Klebsiella,0.0028998694365607878,8.427936000318163e-11,2632,1836,1.0,ERR414278
Lachnoclostridium,0.008892848921129265,2.5698710925851696e-11,3174,1970,1.0,ERR414278
Methanobrevibacter,0.007516219608712967,8.907101736113836e-11,1063,1000,1.0,ERR414278
Odoribacter,0.02011382712190794,2.156426933965258,2526,1594,1.0,ERR414278
Olsenella,0.00341055676260923,0.3656726411882856,1417,1193,1.0,ERR414278
Parabacteroides,0.05401047084055185,9.542303131771292e-12,2870,1747,1.0,ERR414278
Prevotella,0.005741346601401751,0.5097880659789223,2861,1722,1.0,ERR414278
Roseburia,0.016871585732457534,1.4947796714053112e-11,2357,1567,1.0,ERR414278
Ruminococcus,0.012024887150283504,1.1667024741718229e-11,2983,1793,1.0,ERR414278
Shigella,0.009678133956632326,1.03764010312568,1858,1430,1.0,ERR414278
medium,,,786,786,1.0,ERR414278
Akkermansia,0.13724956436844768,6.781656413059343e-11,2274,1386,0.9,ERR414278
Alistipes,0.06341974829430153,3.7020538637495592,2650,1613,0.9,ERR414278
Anaerostipes,0.006923475037513884,6.444356014283685e-11,2034,1491,0.9,ERR414278
Bacteroides,0.3135639786057438,0.372742324837585,3307,1887,0.9,ERR414278
Bifidobacterium,0.010371559686983816,0.3671026082739462,3108,1734,0.9,ERR414278
Blautia,0.024571383922045057,2.3654019013005965e-11,3108,1818,0.9,ERR414278
Collinsella,0.00953530393947592,2.817877798944818e-11,2629,1587,0.9,ERR414278
Coprococcus,0.01150705832337724,4.406342066321004e-11,2188,1591,0.9,ERR414278
Desulfovibrio,0.008718792341398468,0.04793811208411654,1739,1384,0.9,ERR414278
Dialister,0.001427319965563963,0.08331273288099343,1187,1056,0.9,ERR414278
Eubacterium,0.2436517658551121,5.849106342853634e-12,2482,1761,0.9,ERR414278
Faecalibacterium,0.02549781862156151,1.2172483832273719e-11,1986,1472,0.9,ERR414278
Flavonifractor,0.002402484906227893,5.3532066148590556e-11,1207,1105,0.9,ERR414278
Klebsiella,0.0028998694365607878,0.03490796008389795,2632,1836,0.9,ERR414278
Lachnoclostridium,0.008892848921129265,5.974986915917524e-11,3174,1970,0.9,ERR414278
Methanobrevibacter,0.007516219608712967,0.14229081772822522,1063,1000,0.9,ERR414278
Odoribacter,0.02011382712190794,1.1740495582596469,2526,1594,0.9,ERR414278
Olsenella,0.00341055676260923,0.19908204593702675,1417,1193,0.9,ERR414278
Parabacteroides,0.05401047084055185,1.0116055660738499,2870,1747,0.9,ERR414278
Prevotella,0.005741346601401751,0.3031128894632466,2861,1722,0.9,ERR414278
Roseburia,0.016871585732457534,2.1035356106878123e-11,2357,1567,0.9,ERR414278
Ruminococcus,0.012024887150283504,3.0680570133358547e-11,2983,1793,0.9,ERR414278
Shigella,0.009678133956632326,0.5649262204836435,1858,1430,0.9,ERR414278
medium,,,786,786,0.9,ERR414278
Akkermansia,0.13724956436844768,2.542981002578989e-11,2274,1386,0.8,ERR414278
Alistipes,0.06341974829430153,1.089388546055148,2650,1613,0.8,ERR414278
Anaerostipes,0.006923475037513884,1.2803534377428055e-09,2034,1491,0.8,ERR414278
Bacteroides,0.3135639786057438,0.9319840705893764,3307,1887,0.8,ERR414278
Bifidobacterium,0.010371559686983816,0.11895506036592812,3108,1734,0.8,ERR414278
Blautia,0.024571383922045057,1.4456499791746527e-11,3108,1818,0.8,ERR414278
Collinsella,0.00953530393947592,2.5560079029278036e-11,2629,1587,0.8,ERR414278
Coprococcus,0.01150705832337724,3.0959813504095036e-11,2188,1591,0.8,ERR414278
Desulfovibrio,0.008718792341398468,0.03662659954940363,1739,1384,0.8,ERR414278
Dialister,0.001427319965563963,0.02521120812324044,1187,1056,0.8,ERR414278
Eubacterium,0.2436517658551121,2.0642515652810357e-12,2482,1761,0.8,ERR414278
Faecalibacterium,0.02549781862156151,5.628218338782274e-12,1986,1472,0.8,ERR414278
Flavonifractor,0.002402484906227893,7.167449611721676e-11,1207,1105,0.8,ERR414278
Klebsiella,0.0028998694365607878,0.022664264300604715,2632,1836,0.8,ERR414278
Lachnoclostridium,0.008892848921129265,6.995718487199611e-11,3174,1970,0.8,ERR414278
Methanobrevibacter,0.007516219608712967,0.05546670636981393,1063,1000,0.8,ERR414278
Odoribacter,0.02011382712190794,0.34548614153314305,2526,1594,0.8,ERR414278
Olsenella,0.00341055676260923,0.05905006192430581,1417,1193,0.8,ERR414278
Parabacteroides,0.05401047084055185,0.3958731464024245,2870,1747,0.8,ERR414278
Prevotella,0.005741346601401751,0.09066473443196618,2861,1722,0.8,ERR414278
Roseburia,0.016871585732457534,1.7308783604132202e-11,2357,1567,0.8,ERR414278
Ruminococcus,0.012024887150283504,2.9854892739126796e-11,2983,1793,0.8,ERR414278
Shigella,0.009678133956632326,0.16623965433797713,1858,1430,0.8,ERR414278
medium,,,786,786,0.8,ERR414278
Akkermansia,0.13724956436844768,0.2021342183462234,2274,1386,0.7000000000000001,ERR414278
Alistipes,0.06341974829430153,0.1350660413386639,2650,1613,0.7000000000000001,ERR414278
Anaerostipes,0.006923475037513884,0.014116042673070624,2034,1491,0.7000000000000001,ERR414278
Bacteroides,0.3135639786057438,0.6060104767016944,3307,1887,0.7000000000000001,ERR414278
Bifidobacterium,0.010371559686983816,0.022106157728385548,3108,1734,0.7000000000000001,ERR414278
Blautia,0.024571383922045057,0.04504328072561845,3108,1818,0.7000000000000001,ERR414278
Collinsella,0.00953530393947592,0.017996408428276323,2629,1587,0.7000000000000001,ERR414278
Coprococcus,0.01150705832337724,0.021554273212912017,2188,1591,0.7000000000000001,ERR414278
Desulfovibrio,0.008718792341398468,0.01796322046583319,1739,1384,0.7000000000000001,ERR414278
Dialister,0.001427319965563963,0.0034408508906893166,1187,1056,0.7000000000000001,ERR414278
Eubacterium,0.2436517658551121,0.4399049831799619,2482,1761,0.7000000000000001,ERR414278
Faecalibacterium,0.02549781862156151,0.04634962496168854,1986,1472,0.7000000000000001,ERR414278
Flavonifractor,0.002402484906227893,0.005946228177959791,1207,1105,0.7000000000000001,ERR414278
Klebsiella,0.0028998694365607878,0.006490628284882034,2632,1836,0.7000000000000001,ERR414278
Lachnoclostridium,0.008892848921129265,0.017032507322049237,3174,1970,0.7000000000000001,ERR414278
Methanobrevibacter,0.007516219608712967,0.015928052208751424,1063,1000,0.7000000000000001,ERR414278
Odoribacter,0.02011382712190794,0.04287691617616446,2526,1594,0.7000000000000001,ERR414278
Olsenella,0.00341055676260923,0.008046414730858457,1417,1193,0.7000000000000001,ERR414278
Parabacteroides,0.05401047084055185,0.10764830738473924,2870,1747,0.7000000000000001,ERR414278
Prevotella,0.005741346601401751,0.012692364383988592,2861,1722,0.7000000000000001,ERR414278
Roseburia,0.016871585732457534,0.03112243700416412,2357,1567,0.7000000000000001,ERR414278
Ruminococcus,0.012024887150283504,0.022158774060207127,2983,1793,0.7000000000000001,ERR414278
Shigella,0.009678133956632326,0.02233219013590275,1858,1430,0.7000000000000001,ERR414278
medium,,,786,786,0.7000000000000001,ERR414278
Akkermansia,0.13724956436844768,0.21772704783782978,2274,1386,0.6,ERR414278
Alistipes,0.06341974829430153,0.10060664283443127,2650,1613,0.6,ERR414278
Anaerostipes,0.006923475037513884,0.01098314961422336,2034,1491,0.6,ERR414278
Bacteroides,0.3135639786057438,0.4974254303518552,3307,1887,0.6,ERR414278
Bifidobacterium,0.010371559686983816,0.016453054547763076,3108,1734,0.6,ERR414278
Blautia,0.024571383922045057,0.038979107009459404,3108,1818,0.6,ERR414278
Collinsella,0.00953530393947592,0.015126452804352491,2629,1587,0.6,ERR414278
Coprococcus,0.01150705832337724,0.018254370929726368,2188,1591,0.6,ERR414278
Desulfovibrio,0.008718792341398468,0.013831168934543869,1739,1384,0.6,ERR414278
Dialister,0.001427319965563963,0.002264545326384063,1187,1056,0.6,ERR414278
Eubacterium,0.2436517658551121,0.38651937377580015,2482,1761,0.6,ERR414278
Faecalibacterium,0.02549781862156151,0.04044877002648707,1986,1472,0.6,ERR414278
Flavonifractor,0.002402484906227893,0.007259132005859228,1207,1105,0.6,ERR414278
Klebsiella,0.0028998694365607878,0.004600291594881579,2632,1836,0.6,ERR414278
Lachnoclostridium,0.008892848921129265,0.014107283902826229,3174,1970,0.6,ERR414278
Methanobrevibacter,0.007516219608712967,0.01192345653035859,1063,1000,0.6,ERR414278
Odoribacter,0.02011382712190794,0.03190782480223566,2526,1594,0.6,ERR414278
Olsenella,0.00341055676260923,0.005410413199007174,1417,1193,0.6,ERR414278
Parabacteroides,0.05401047084055185,0.08568012587227576,2870,1747,0.6,ERR414278
Prevotella,0.005741346601401751,0.009107862931137167,2861,1722,0.6,ERR414278
Roseburia,0.016871585732457534,0.02676445267091956,2357,1567,0.6,ERR414278
Ruminococcus,0.012024887150283504,0.019075831583589622,2983,1793,0.6,ERR414278
Shigella,0.009678133956632326,0.01535303703526025,1858,1430,0.6,ERR414278
medium,,,786,786,0.6,ERR414278
Akkermansia,0.13724956436844768,0.18144008337355405,2274,1386,0.5,ERR414278
Alistipes,0.06341974829430153,0.08383968282476982,2650,1613,0.5,ERR414278
Anaerostipes,0.006923475037513884,0.009152706480349056,2034,1491,0.5,ERR414278
Bacteroides,0.3135639786057438,0.41452376431126037,3307,1887,0.5,ERR414278
Bifidobacterium,0.010371559686983816,0.013710991518961473,3108,1734,0.5,ERR414278
Blautia,0.024571383922045057,0.03248283842450727,3108,1818,0.5,ERR414278
Collinsella,0.00953530393947592,0.01260548369459017,2629,1587,0.5,ERR414278
Coprococcus,0.01150705832337724,0.015212104952554258,2188,1591,0.5,ERR414278
Desulfovibrio,0.008718792341398468,0.011526071892776081,1739,1384,0.5,ERR414278
Dialister,0.001427319965563963,0.001887037624464892,1187,1056,0.5,ERR414278
Eubacterium,0.2436517658551121,0.32210137045625126,2482,1761,0.5,ERR414278
Faecalibacterium,0.02549781862156151,0.03370757832331463,1986,1472,0.5,ERR414278
Flavonifractor,0.002402484906227893,0.005426240392530636,1207,1105,0.5,ERR414278
Klebsiella,0.0028998694365607878,0.0038335959199862647,2632,1836,0.5,ERR414278
Lachnoclostridium,0.008892848921129265,0.011756167448885803,3174,1970,0.5,ERR414278
Methanobrevibacter,0.007516219608712967,0.00993630215598521,1063,1000,0.5,ERR414278
Odoribacter,0.02011382712190794,0.026590094401984444,2526,1594,0.5,ERR414278
Olsenella,0.00341055676260923,0.004508712508009404,1417,1193,0.5,ERR414278
Parabacteroides,0.05401047084055185,0.07140059757773341,2870,1747,0.5,ERR414278
Prevotella,0.005741346601401751,0.007589950181988338,2861,1722,0.5,ERR414278
Roseburia,0.016871585732457534,0.02230389280429018,2357,1567,0.5,ERR414278
Ruminococcus,0.012024887150283504,0.01589665736172734,2983,1793,0.5,ERR414278
Shigella,0.009678133956632326,0.012794311637326911,1858,1430,0.5,ERR414278
medium,,,786,786,0.5,ERR414278
Akkermansia,0.13724956436844768,0.14514855767994778,2274,1386,0.4,ERR414278
Alistipes,0.06341974829430153,0.06706968459866051,2650,1613,0.4,ERR414278
Anaerostipes,0.006923475037513884,0.007321935196683146,2034,1491,0.4,ERR414278
Bacteroides,0.3135639786057438,0.33161022728592854,3307,1887,0.4,ERR414278
Bifidobacterium,0.010371559686983816,0.01096846417321748,3108,1734,0.4,ERR414278
Blautia,0.024571383922045057,0.025985517352761944,3108,1818,0.4,ERR414278
Collinsella,0.00953530393947592,0.010084080196229406,2629,1587,0.4,ERR414278
Coprococcus,0.01150705832337724,0.012169313079994304,2188,1591,0.4,ERR414278
Desulfovibrio,0.008718792341398468,0.009220576684963585,1739,1384,0.4,ERR414278
Dialister,0.001427319965563963,0.0015094652067505585,1187,1056,0.4,ERR414278
Eubacterium,0.2436517658551121,0.2576744236156564,2482,1761,0.4,ERR414278
Faecalibacterium,0.02549781862156151,0.026965270265186744,1986,1472,0.4,ERR414278
Flavonifractor,0.002402484906227893,0.0064922464313874155,1207,1105,0.4,ERR414278
Klebsiella,0.0028998694365607878,0.003066762870718591,2632,1836,0.4,ERR414278
Lachnoclostridium,0.008892848921129265,0.00940465057686988,3174,1970,0.4,ERR414278
Methanobrevibacter,0.007516219608712967,0.007948793430888387,1063,1000,0.4,ERR414278
Odoribacter,0.02011382712190794,0.02127141903642508,2526,1594,0.4,ERR414278
Olsenella,0.00341055676260923,0.003606841293678729,1417,1193,0.4,ERR414278
Parabacteroides,0.05401047084055185,0.057118883970950204,2870,1747,0.4,ERR414278
Prevotella,0.005741346601401751,0.006071772850455601,2861,1722,0.4,ERR414278
Roseburia,0.016871585732457534,0.017842580019740085,2357,1567,0.4,ERR414278
Ruminococcus,0.012024887150283504,0.012716944015477434,2983,1793,0.4,ERR414278
Shigella,0.009678133956632326,0.010235130373288069,1858,1430,0.4,ERR414278
medium,,,786,786,0.4,ERR414278
Akkermansia,0.13724956436844768,0.10885890785270598,2274,1386,0.30000000000000004,ERR414278
Alistipes,0.06341974829430153,0.050301103449535256,2650,1613,0.30000000000000004,ERR414278
Anaerostipes,0.006923475037513884,0.005491324763612258,2034,1491,0.30000000000000004,ERR414278
Bacteroides,0.3135639786057438,0.24870193512159913,3307,1887,0.30000000000000004,ERR414278
Bifidobacterium,0.010371559686983816,0.00822615842623046,3108,1734,0.30000000000000004,ERR414278
Blautia,0.024571383922045057,0.019488688583810893,3108,1818,0.30000000000000004,ERR414278
Collinsella,0.00953530393947592,0.007562885739457541,2629,1587,0.30000000000000004,ERR414278
Coprococcus,0.01150705832337724,0.00912677433691286,2188,1591,0.30000000000000004,ERR414278
Desulfovibrio,0.008718792341398468,0.006915273040833212,1739,1384,0.30000000000000004,ERR414278
Dialister,0.001427319965563963,0.0011320729233945995,1187,1056,0.30000000000000004,ERR414278
Eubacterium,0.2436517658551121,0.19325136112113828,2482,1761,0.30000000000000004,ERR414278
Faecalibacterium,0.02549781862156151,0.020223486322893617,1986,1472,0.30000000000000004,ERR414278
Flavonifractor,0.002402484906227893,0.006287480457880287,1207,1105,0.30000000000000004,ERR414278
Klebsiella,0.0028998694365607878,0.002300019135129306,2632,1836,0.30000000000000004,ERR414278
Lachnoclostridium,0.008892848921129265,0.007053325276115168,3174,1970,0.30000000000000004,ERR414278
Methanobrevibacter,0.007516219608712967,0.005961457596894467,1063,1000,0.30000000000000004,ERR414278
Odoribacter,0.02011382712190794,0.01595319637898049,2526,1594,0.30000000000000004,ERR414278
Olsenella,0.00341055676260923,0.0027050686047483813,1417,1193,0.30000000000000004,ERR414278
Parabacteroides,0.05401047084055185,0.042838175082277205,2870,1747,0.30000000000000004,ERR414278
Prevotella,0.005741346601401751,0.004553724627760719,2861,1722,0.30000000000000004,ERR414278
Roseburia,0.016871585732457534,0.0133816264198254,2357,1567,0.30000000000000004,ERR414278
Ruminococcus,0.012024887150283504,0.009537488067015995,2983,1793,0.30000000000000004,ERR414278
Shigella,0.009678133956632326,0.007676170759742282,1858,1430,0.30000000000000004,ERR414278
